Coincidence event, time difference, timestamp 1, timestamp 2, nth event within the second
//note that we still have too many events in this dataset to be considered muons.
Muon:0.000059 (141459.000535-141459.000476) Et3
Muon:0.000082 (141459.000821-141459.000903) Et4
Muon:0.000002 (141544.000208-141544.000210) Et4
Muon:0.000028 (141548.000646-141548.000618) Et1
Muon:0.000042 (141548.000667-141548.000624) Et2
Muon:0.000001 (141643.000001-141643.000002) Et1
Muon:0.000002 (141643.000008-141643.000006) Et2
Muon:0.000045 (141643.000063-141643.000018) Et3
Muon:0.000002 (141745.000001-141745.000002) Et1
Muon:0.000007 (141745.000001-141745.000009) Et2
Muon:0.000024 (141745.000011-141745.000034) Et3
Muon:0.000001 (141827.000001-141827.000002) Et1
Muon:0.000007 (141827.000001-141827.000008) Et2
Muon:0.000059 (141827.000002-141827.000061) Et3
Muon:0.000001 (141828.000001-141828.000002) Et1
Muon:0.000001 (141828.000005-141828.000006) Et2
Muon:0.000096 (141829.000001-141829.000096) Et1
Muon:0.000053 (142003.000113-142003.000060) Et1
Muon:0.000067 (142003.000215-142003.000148) Et3
Muon:0.000036 (142003.000226-142003.000190) Et4
Muon:0.000001 (142006.000001-142006.000001) Et1
Muon:0.000020 (142057.000008-142057.000028) Et1
Muon:0.000070 (142059.000001-142059.000070) Et1
Muon:0.000012 (142320.000000-142320.000012) Et1
Muon:0.000001 (142702.000001-142702.000002) Et1
Muon:0.000001 (142702.000001-142702.000002) Et2
Muon:0.000029 (142753.001222-142753.001251) Et4
Muon:0.000002 (142904.000001-142904.000003) Et1
Muon:0.000041 (142904.000002-142904.000043) Et2
Muon:0.000068 (142904.000015-142904.000083) Et3
Muon:0.000047 (142904.000120-142904.000168) Et4
Muon:0.000070 (143132.000001-143132.000070) Et1
Muon:0.000049 (143132.000048-143132.000097) Et2
Muon:0.000000 (143136.000001-143136.000001) Et1
Muon:0.000001 (143451.000001-143451.000002) Et1
Muon:0.000002 (143451.000002-143451.000004) Et2
Muon:0.000029 (143640.000172-143640.000143) Et1
Muon:0.000098 (143640.000257-143640.000160) Et2
Muon:0.000077 (143707.000373-143707.000296) Et2
Muon:0.000089 (143709.000551-143709.000639) Et3
